dealer_type,stock_type,mileage,price,model_year,make,model,certified,transmission_from_vin,fuel_type_from_vin,number_price_changes
I,NEW,1702,69366,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,69767,2024,BMW,X3,0,A,PHEV,0
I,NEW,768,70096,2024,BMW,X3,0,A,PHEV,1
I,NEW,90,70446,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,70446,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,70446,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,70667,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,70996,2024,BMW,X3,0,A,PHEV,1
I,NEW,90,71146,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,75867,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,76167,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,76467,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,76967,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,77067,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,77067,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,77696,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,77696,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,77717,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,78196,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,78196,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,78517,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,80017,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,80467,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,80467,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,80717,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,81067,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,81067,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,81467,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,81467,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,81846,2024,BMW,X3,0,A,PHEV,0
I,NEW,90,83267,2024,BMW,X3,0,A,PHEV,0
