dealer_type,stock_type,mileage,price,model_year,make,model,certified,transmission_from_vin,fuel_type_from_vin,number_price_changes
I,USED,94839,27699,2021,Chevrolet,Trax,0,A,Gas,1
F,USED,56719,22507,2021,Chevrolet,Trax,0,A,Gas,1
F,USED,73691,18799,2021,Chevrolet,Trax,0,A,Gas,1
F,USED,76844,18876,2021,Chevrolet,Trax,0,A,Gas,2
F,USED,64175,18899,2021,Chevrolet,Trax,0,A,Gas,2
F,USED,79711,19494,2021,Chevrolet,Trax,0,A,Gas,1
F,USED,88991,21907,2021,Chevrolet,Trax,0,A,Gas,1
F,USED,82909,22995,2021,Chevrolet,Trax,0,A,Gas,3
I,USED,77611,23655,2021,Chevrolet,Trax,0,A,Gas,0
F,USED,76294,23888,2021,Chevrolet,Trax,0,A,Gas,1
F,USED,81172,23927,2021,Chevrolet,Trax,0,A,Gas,2
F,USED,84603,24895,2021,Chevrolet,Trax,0,A,Gas,3
F,USED,136231,25777,2021,Chevrolet,Trax,0,A,Gas,1
F,USED,90609,26067,2021,Chevrolet,Trax,0,A,Gas,1
F,USED,67328,26747,2021,Chevrolet,Trax,0,A,Gas,1
F,USED,95121,26999,2021,Chevrolet,Trax,0,A,Gas,1
F,USED,77526,22995,2021,Chevrolet,Trax,0,A,Gas,1
F,USED,56719,23907,2021,Chevrolet,Trax,0,A,Gas,12
I,USED,84138,24995,2021,Chevrolet,Trax,0,A,Gas,11
I,USED,83795,23674,2021,Chevrolet,Trax,0,A,Gas,0
F,USED,73441,21911,2021,Chevrolet,Trax,0,A,Gas,18
F,USED,73441,21911,2021,Chevrolet,Trax,0,A,Gas,1
I,USED,40383,22999,2021,Chevrolet,Trax,0,A,Gas,2
F,USED,56865,25300,2021,Chevrolet,Trax,0,A,Gas,1
F,USED,82166,32500,2021,Chevrolet,Trax,0,A,Gas,15
F,USED,56719,22507,2021,Chevrolet,Trax,0,A,Gas,1
F,USED,88991,21907,2021,Chevrolet,Trax,0,A,Gas,1
I,USED,83182,21987,2021,Chevrolet,Trax,0,A,Gas,5
F,USED,81769,22643,2021,Chevrolet,Trax,0,A,Gas,16
F,USED,88991,24507,2021,Chevrolet,Trax,0,A,Gas,40
F,USED,90910,22997,2021,Chevrolet,Trax,0,A,Gas,0
I,USED,87701,25888,2021,Chevrolet,Trax,0,A,Gas,0
I,USED,87701,25888,2021,Chevrolet,Trax,0,A,Gas,0
I,USED,83344,26888,2021,Chevrolet,Trax,0,A,Gas,0
I,USED,83344,26888,2021,Chevrolet,Trax,0,A,Gas,0
F,USED,40383,23999,2021,Chevrolet,Trax,0,A,Gas,1
I,USED,19731,34912,2021,Chrysler,300,0,A,Gas,6
I,USED,65000,31988,2021,Chrysler,300,0,A,Gas,0
I,USED,67600,31988,2021,Chrysler,300,0,A,Gas,0
I,USED,79236,31993,2021,Chrysler,300,0,A,Gas,6
I,USED,81686,31997,2021,Chrysler,300,0,A,Gas,5
I,USED,72425,32143,2021,Chrysler,300,0,A,Gas,8
I,USED,78366,33999,2021,Chrysler,300,0,A,Gas,9
I,USED,54590,35325,2021,Chrysler,300,0,A,Gas,8
I,USED,71667,35629,2021,Chrysler,300,0,A,Gas,10
I,USED,71414,36689,2021,Chrysler,300,0,A,Gas,0
I,USED,52759,36784,2021,Chrysler,300,0,A,Gas,6
I,USED,47075,37387,2021,Chrysler,300,0,A,Gas,3
I,USED,45858,37874,2021,Chrysler,300,0,A,Gas,0
