dealer_type,stock_type,mileage,price,model_year,make,model,certified,transmission_from_vin,fuel_type_from_vin,number_price_changes
F,NEW,90,63180,2024,Lexus,RX-Series,0,A,Gas,0
F,NEW,90,63180,2024,Lexus,RX-Series,0,A,Gas,0
F,NEW,90,63180,2024,Lexus,RX-Series,0,A,Gas,0
F,USED,11949,63488,2024,Lexus,RX-Series,1,A,Gas,2
F,NEW,90,63680,2024,Lexus,RX-Series,0,A,Gas,0
F,NEW,90,63680,2024,Lexus,RX-Series,0,A,Gas,0
F,NEW,90,63680,2024,Lexus,RX-Series,0,A,Gas,0
F,NEW,90,63680,2024,Lexus,RX-Series,0,A,Gas,0
F,NEW,90,63680,2024,Lexus,RX-Series,0,A,Gas,3
F,NEW,90,63680,2024,Lexus,RX-Series,0,A,Gas,0
F,NEW,90,63680,2024,Lexus,RX-Series,0,A,Gas,0
F,NEW,90,64675,2024,Lexus,RX-Series,0,A,Gas,1
F,NEW,90,78676,2024,Lexus,RX-Series,0,A,Gas,8
F,NEW,90,78680,2024,Lexus,RX-Series,0,A,Gas,0
F,NEW,90,70676,2024,Lexus,RX-Series,0,A,Gas,2
F,NEW,90,71176,2024,Lexus,RX-Series,0,A,Gas,6
F,NEW,90,71176,2024,Lexus,RX-Series,0,A,Gas,6
F,NEW,90,71180,2024,Lexus,RX-Series,0,A,Gas,0
F,NEW,90,71180,2024,Lexus,RX-Series,0,A,Gas,0
F,NEW,90,71180,2024,Lexus,RX-Series,0,A,Gas,0
F,NEW,90,71180,2024,Lexus,RX-Series,0,A,Gas,0
F,NEW,90,71180,2024,Lexus,RX-Series,0,A,Gas,0
F,NEW,90,71180,2024,Lexus,RX-Series,0,A,Gas,0
F,NEW,90,71180,2024,Lexus,RX-Series,0,A,Gas,0
F,NEW,90,71180,2024,Lexus,RX-Series,0,A,Gas,0
F,NEW,90,71180,2024,Lexus,RX-Series,0,A,Gas,0
F,NEW,90,74180,2024,Lexus,RX-Series,0,A,Gas,0
F,NEW,90,74676,2024,Lexus,RX-Series,0,A,Gas,6
F,NEW,90,74676,2024,Lexus,RX-Series,0,A,Gas,8
F,NEW,90,74676,2024,Lexus,RX-Series,0,A,Gas,8
F,NEW,90,74830,2024,Lexus,RX-Series,0,A,Gas,0
F,NEW,90,80680,2024,Lexus,RX-Series,0,A,Hybrid,0
F,NEW,90,81180,2024,Lexus,RX-Series,0,A,Hybrid,0
F,USED,5620,71388,2024,Lexus,RX-Series,0,A,Hybrid,3
F,NEW,90,73180,2024,Lexus,RX-Series,0,A,Hybrid,0
F,NEW,90,73180,2024,Lexus,RX-Series,0,A,Hybrid,0
F,NEW,90,76680,2024,Lexus,RX-Series,0,A,Hybrid,0
F,NEW,90,76830,2024,Lexus,RX-Series,0,A,Hybrid,0
F,NEW,90,80680,2024,Lexus,RX-Series,0,A,Hybrid,0
F,NEW,90,81330,2024,Lexus,RX-Series,0,A,Hybrid,0
F,NEW,90,65180,2024,Lexus,RX-Series,0,A,Hybrid,0
F,NEW,90,65680,2024,Lexus,RX-Series,0,A,Hybrid,0
F,NEW,90,76120,2024,Lexus,RX-Series,0,A,Hybrid,5
F,NEW,90,76680,2024,Lexus,RX-Series,0,A,Hybrid,0
F,NEW,90,77825,2024,Lexus,RX-Series,0,A,Hybrid,1
F,NEW,90,73180,2024,Lexus,RX-Series,0,A,Hybrid,0
F,NEW,90,73180,2024,Lexus,RX-Series,0,A,Hybrid,0
F,NEW,90,73180,2024,Lexus,RX-Series,0,A,Hybrid,0
F,NEW,90,73350,2024,Lexus,RX-Series,0,A,Hybrid,0
F,NEW,90,76180,2024,Lexus,RX-Series,0,A,Hybrid,0
F,NEW,90,76180,2024,Lexus,RX-Series,0,A,Hybrid,0
F,NEW,90,76180,2024,Lexus,RX-Series,0,A,Hybrid,0
F,NEW,90,76680,2024,Lexus,RX-Series,0,A,Hybrid,0
F,NEW,90,81180,2024,Lexus,RX-Series,0,A,Hybrid,0
F,NEW,90,761762,2024,Lexus,RX-Series,0,A,Hybrid,4
F,NEW,90,91130,2024,Lexus,RX-Series,0,A,Hybrid,0
F,NEW,90,91280,2024,Lexus,RX-Series,0,A,Hybrid,0
F,NEW,90,109355,2024,Lexus,RX-Series,0,A,Hybrid,1
F,NEW,90,91130,2024,Lexus,RX-Series,0,A,Hybrid,0
F,USED,8465,58900,2024,Lexus,RX-Series,0,A,Gas,0
I,USED,1900,78888,2024,Lexus,RX-Series,0,A,Gas,1
F,USED,1900,78888,2024,Lexus,RX-Series,0,A,Gas,1
F,NEW,90,83579,2024,Lexus,TX-Series,0,A,Gas,0
F,NEW,499,72900,2024,Lexus,TX-Series,0,A,Gas,3
F,NEW,90,74829,2024,Lexus,TX-Series,0,A,Gas,0
F,NEW,90,72079,2024,Lexus,TX-Series,0,A,Gas,0
F,NEW,90,72079,2024,Lexus,TX-Series,0,A,Gas,0
F,USED,7825,70900,2024,Lexus,TX-Series,0,A,Gas,3
F,NEW,90,72079,2024,Lexus,TX-Series,0,A,Gas,0
F,NEW,90,72079,2024,Lexus,TX-Series,0,A,Gas,0
F,NEW,90,72079,2024,Lexus,TX-Series,0,A,Gas,0
F,NEW,90,72579,2024,Lexus,TX-Series,0,A,Gas,0
F,USED,2927,72900,2024,Lexus,TX-Series,0,A,Gas,3
F,USED,3000,72900,2024,Lexus,TX-Series,0,A,Gas,0
F,NEW,3100,72900,2024,Lexus,TX-Series,0,A,Gas,6
F,NEW,499,72900,2024,Lexus,TX-Series,0,A,Gas,10
F,NEW,2927,72910,2024,Lexus,TX-Series,0,A,Gas,14
F,USED,1715,73967,2024,Lexus,TX-Series,0,A,Gas,0
F,NEW,90,74829,2024,Lexus,TX-Series,0,A,Gas,0
F,NEW,90,74829,2024,Lexus,TX-Series,0,A,Gas,0
F,NEW,90,74829,2024,Lexus,TX-Series,0,A,Gas,0
F,NEW,90,74829,2024,Lexus,TX-Series,0,A,Gas,0
F,NEW,90,93529,2024,Lexus,TX-Series,0,A,Hybrid,0
I,USED,7251,73495,2024,Lexus,TX-Series,0,A,Gas,1
I,NEW,0,74786,2024,Lexus,TX-Series,0,A,Gas,0
I,NEW,0,74840,2024,Lexus,TX-Series,0,A,Gas,0
I,NEW,0,75040,2024,Lexus,TX-Series,0,A,Gas,0
I,USED,6000,76300,2024,Lexus,TX-Series,0,A,Gas,8
I,NEW,0,83040,2024,Lexus,TX-Series,0,A,Gas,0
I,NEW,0,86460,2024,Lexus,TX-Series,0,A,Gas,0
I,NEW,0,72038,2024,Lexus,TX-Series,0,A,Gas,0
I,NEW,0,74785,2024,Lexus,TX-Series,0,A,Gas,1
I,NEW,0,74786,2024,Lexus,TX-Series,0,A,Gas,0
I,NEW,0,74786,2024,Lexus,TX-Series,0,A,Gas,6
I,NEW,0,74786,2024,Lexus,TX-Series,0,A,Gas,4
I,NEW,0,74840,2024,Lexus,TX-Series,0,A,Gas,0
I,NEW,0,74840,2024,Lexus,TX-Series,0,A,Gas,0
I,NEW,0,74840,2024,Lexus,TX-Series,0,A,Gas,0
I,NEW,0,75340,2024,Lexus,TX-Series,0,A,Gas,1
I,USED,2000,76888,2024,Lexus,TX-Series,0,A,Gas,0
I,NEW,0,85040,2024,Lexus,TX-Series,0,A,Gas,0
I,NEW,0,72036,2024,Lexus,TX-Series,0,A,Gas,0
I,NEW,0,72090,2024,Lexus,TX-Series,0,A,Gas,0
I,NEW,0,72538,2024,Lexus,TX-Series,0,A,Gas,0
I,NEW,0,74786,2024,Lexus,TX-Series,0,A,Gas,0
I,NEW,0,74786,2024,Lexus,TX-Series,0,A,Gas,0
I,NEW,0,74786,2024,Lexus,TX-Series,0,A,Gas,0
I,NEW,0,74786,2024,Lexus,TX-Series,0,A,Gas,0
I,NEW,0,74786,2024,Lexus,TX-Series,0,A,Gas,0
I,NEW,0,74786,2024,Lexus,TX-Series,0,A,Gas,0
I,NEW,0,74786,2024,Lexus,TX-Series,0,A,Gas,2
I,NEW,0,74786,2024,Lexus,TX-Series,0,A,Gas,2
I,NEW,0,74788,2024,Lexus,TX-Series,0,A,Gas,0
I,NEW,0,75040,2024,Lexus,TX-Series,0,A,Gas,0
I,NEW,0,75040,2024,Lexus,TX-Series,0,A,Gas,1
I,NEW,0,75040,2024,Lexus,TX-Series,0,A,Gas,1
I,NEW,2000,76888,2024,Lexus,TX-Series,0,A,Gas,0
I,NEW,2000,76888,2024,Lexus,TX-Series,0,A,Gas,0
I,NEW,0,85040,2024,Lexus,TX-Series,0,A,Gas,0
I,NEW,0,87488,2024,Lexus,TX-Series,0,A,Hybrid,0
I,USED,7061,89888,2024,Lexus,TX-Series,0,A,Hybrid,0
I,NEW,0,92900,2024,Lexus,TX-Series,0,A,Hybrid,0
I,NEW,0,93540,2024,Lexus,TX-Series,0,A,Hybrid,0
F,NEW,90,72080,2024,Lexus,TX-Series,0,A,Gas,0
F,NEW,90,72080,2024,Lexus,TX-Series,0,A,Gas,0
F,NEW,90,72580,2024,Lexus,TX-Series,0,A,Gas,0
F,NEW,90,77770,2024,Lexus,TX-Series,0,A,Gas,1
F,USED,2950,91348,2024,Lexus,TX-Series,0,A,Gas,1
F,USED,11840,68988,2024,Lexus,TX-Series,0,A,Gas,5
F,USED,8450,69988,2024,Lexus,TX-Series,0,A,Gas,2
F,NEW,90,72076,2024,Lexus,TX-Series,0,A,Gas,0
F,NEW,90,72076,2024,Lexus,TX-Series,0,A,Gas,2
F,NEW,90,72080,2024,Lexus,TX-Series,0,A,Gas,0
F,NEW,90,74826,2024,Lexus,TX-Series,0,A,Gas,7
F,NEW,90,74830,2024,Lexus,TX-Series,0,A,Gas,0
F,NEW,90,78275,2024,Lexus,TX-Series,0,A,Gas,0
F,NEW,2953,91348,2024,Lexus,TX-Series,0,A,Gas,9
F,NEW,90,87530,2024,Lexus,TX-Series,0,A,Hybrid,0
F,USED,5282,97957,2024,Lexus,TX-Series,0,A,Hybrid,4
F,NEW,4804,97953,2024,Lexus,TX-Series,0,A,Hybrid,4
I,NEW,3210,50679,2024,Lexus,UX-Series,0,A,Hybrid,4
I,NEW,3210,50679,2024,Lexus,UX-Series,0,A,Hybrid,5
F,USED,3210,49679,2024,Lexus,UX-Series,0,A,Hybrid,2
F,NEW,3485,50915,2024,Lexus,UX-Series,0,A,Hybrid,1
F,USED,9224,50915,2024,Lexus,UX-Series,0,A,Hybrid,11
F,USED,10026,50915,2024,Lexus,UX-Series,0,A,Hybrid,13
F,USED,1315,51417,2024,Lexus,UX-Series,0,A,Hybrid,2
F,USED,1801,51417,2024,Lexus,UX-Series,0,A,Hybrid,0
F,USED,2682,51417,2024,Lexus,UX-Series,0,A,Hybrid,0
F,USED,2863,51417,2024,Lexus,UX-Series,0,A,Hybrid,0
F,NEW,1315,51427,2024,Lexus,UX-Series,0,A,Hybrid,8
F,NEW,2626,51427,2024,Lexus,UX-Series,0,A,Hybrid,8
F,NEW,3127,51427,2024,Lexus,UX-Series,0,A,Hybrid,10
F,USED,1214,51567,2024,Lexus,UX-Series,0,A,Hybrid,0
F,USED,2914,51567,2024,Lexus,UX-Series,0,A,Hybrid,2
F,NEW,3471,51567,2024,Lexus,UX-Series,0,A,Hybrid,7
F,USED,9365,56915,2024,Lexus,UX-Series,0,A,Hybrid,2
F,USED,13432,47915,2024,Lexus,UX-Series,0,A,Hybrid,3
I,NEW,0,49486,2024,Lexus,UX-Series,0,A,Hybrid,2
I,NEW,0,49486,2024,Lexus,UX-Series,0,A,Hybrid,0
I,USED,4441,51900,2024,Lexus,UX-Series,0,A,Hybrid,1
I,USED,5400,52450,2024,Lexus,UX-Series,0,A,Hybrid,0
F,NEW,1320,49672,2024,Lexus,UX-Series,0,A,Hybrid,8
F,NEW,90,50021,2024,Lexus,UX-Series,0,A,Hybrid,3
F,NEW,90,52307,2024,Lexus,UX-Series,0,A,Hybrid,8
F,USED,10298,48989,2024,Lexus,UX-Series,0,A,Hybrid,1
I,NEW,106,93345,2024,Lincoln,Aviator,0,A,Gas,0
I,NEW,57,93345,2024,Lincoln,Aviator,0,A,Gas,0
I,NEW,106,93345,2024,Lincoln,Aviator,0,A,Gas,0
I,NEW,57,93345,2024,Lincoln,Aviator,0,A,Gas,0
F,NEW,39,93794,2024,Lincoln,Aviator,0,A,Gas,1
F,NEW,37,94844,2024,Lincoln,Aviator,0,A,Gas,0
F,NEW,39,93794,2024,Lincoln,Aviator,0,A,Gas,1
F,NEW,37,94844,2024,Lincoln,Aviator,0,A,Gas,0
I,NEW,106,93345,2024,Lincoln,Aviator,0,A,Gas,0
I,NEW,56,93345,2024,Lincoln,Aviator,0,A,Gas,0
I,NEW,359,52770,2024,Lincoln,Corsair,0,A,Gas,0
