vehicle_id,dealer_type,stock_type,mileage,price,model_year,make,model,certified,transmission_from_vin,fuel_type_from_vin,number_price_changes
1,I,USED,48905,8700,1988,Chrysler,Fifth Avenue,0,A,Gas,0
2,I,USED,174640,6000,1989,Cadillac,DeVille,0,A,Gas,0
3,I,USED,174640,6000,1989,Cadillac,DeVille,0,A,Gas,4
4,F,USED,198839,39900,1989,Volkswagen,Cabriolet,0,A,Gas,13
5,F,USED,21364,29900,1990,Dodge,Ram 150,0,A,Gas,1
6,I,USED,122400,19900,1990,Mazda,Miata,0,M,Gas,7
7,I,USED,84152,6700,1990,Toyota,Corolla,0,A,Gas,0
8,I,USED,126806,19000,1991,Mercury,Cougar,0,A,Gas,1
9,F,USED,126806,17900,1991,Mercury,Cougar,0,A,Gas,3
10,I,USED,170192,3500,1992,Toyota,Camry,0,A,Gas,1
11,I,USED,154912,8888,1993,BMW,5 Series,0,A,Gas,0
12,I,USED,117000,17999,1993,Cadillac,Allante,0,A,Gas,0
13,I,USED,39146,32999,1993,Cadillac,Allante,0,A,Gas,1
14,F,USED,40500,144800,1995,Acura,NSX-T,0,A,Gas,0
15,I,USED,40500,144800,1995,Acura,NSX-T,0,A,Gas,0
16,I,USED,40500,144800,1995,Acura,NSX-T,0,A,Gas,0
17,I,USED,40500,144800,1995,Acura,NSX-T,0,A,Gas,0
18,F,USED,186026,29000,1995,Chevrolet,C/K1500,0,A,CNG,1
19,I,USED,165424,13900,1996,BMW,Z3,0,M,Gas,1
20,I,USED,48654,28000,1996,Chevrolet,C/K3500,0,A,Diesel,0
21,I,USED,163846,12997,1996,Chevrolet,Camaro,0,A,Gas,2
22,I,USED,139295,7500,1996,Jaguar,XJ,0,A,Gas,0
23,I,USED,114325,5900,1996,Toyota,Tercel,0,M,Gas,0
24,I,USED,26000,28949,1997,BMW,Z3,0,M,Gas,0
25,F,USED,26000,28949,1997,BMW,Z3,0,M,Gas,0
26,I,USED,136100,21900,1997,Chevrolet,Corvette,0,A,Gas,0
27,I,USED,127834,8500,1997,Toyota,Rav4,0,M,Gas,1
28,I,USED,174327,5999,1998,Honda,Accord,0,A,Gas,0
29,I,USED,174327,5999,1998,Honda,Accord,0,A,Gas,0
30,I,USED,132220,9888,1998,Mercedes-Benz,SLK-Class,0,A,Gas,23
31,I,USED,69872,10900,1998,Nissan,Maxima,0,M,Gas,1
32,I,USED,184797,9999,1998,Subaru,Forester,0,A,Gas,0
33,I,USED,184797,9999,1998,Subaru,Forester,0,A,Gas,0
34,I,USED,71155,3609,1999,Ford,Taurus,0,A,Gas,0
35,I,USED,185188,9900,1999,Lexus,RX300,0,A,Gas,1
36,F,USED,159318,24995,1999,Porsche,911 Carrera 2,0,A,Gas,0
37,F,USED,98058,14995,2000,Cadillac,Eldorado,0,A,Gas,0
38,I,USED,194101,4900,2000,Chrysler,300M,0,A,Gas,0
39,F,USED,194101,4900,2000,Chrysler,300M,0,A,Gas,0
40,I,USED,111108,9988,2000,Ford,Mustang,0,A,Gas,10
41,I,USED,174604,7995,2000,Mercedes-Benz,CLK-Class,0,A,Gas,3
42,I,USED,23000,34800,2000,Pontiac,Firebird,0,A,Gas,0
43,F,USED,119268,14998,2000,Porsche,Boxster,0,A,Gas,0
44,F,USED,55163,19893,2000,Porsche,Boxster,0,A,Gas,2
45,I,USED,52665,28950,2001,BMW,Z3,0,M,Gas,3
46,I,USED,148400,14888,2001,BMW,Z3,0,M,Gas,0
47,F,USED,181263,16900,2001,Dodge,Dakota,0,A,Gas,6
48,I,USED,179355,7500,2001,Ford,Explorer Sport Trac,0,A,Gas,0
49,F,USED,53614,15000,2001,Ford,Mustang,0,A,Gas,5
50,I,USED,184223,6999,2001,Jeep,Grand Cherokee,0,A,Gas,3
51,I,USED,195760,3850,2002,Acura,EL,0,A,Gas,1
52,I,USED,139851,9999,2002,Audi,TT,0,A,Gas,0
53,I,USED,139851,9999,2002,Audi,TT,0,A,Gas,0
54,I,USED,156829,13500,2002,BMW,3 Series,0,M,Gas,4
55,I,USED,87512,10500,2002,BMW,5 Series,0,A,Gas,2
56,I,USED,145000,23000,2002,Chevrolet,Camaro,0,A,Gas,0
57,I,USED,113371,14180,2002,Chevrolet,Silverado 1500,0,A,Gas,1
58,F,USED,113371,14180,2002,Chevrolet,Silverado 1500,0,A,Gas,3
59,F,USED,113371,14180,2002,Chevrolet,Silverado 1500,0,A,Gas,3
60,F,USED,113371,14180,2002,Chevrolet,Silverado 1500,0,A,Gas,3
61,I,USED,174725,3609,2002,Dodge,Grand Caravan,0,A,Gas,0
62,F,USED,174725,3609,2002,Dodge,Grand Caravan,0,A,Gas,0
63,I,USED,79300,22998,2002,Ford,Thunderbird,0,A,Gas,7
64,I,USED,171100,6995,2002,GMC,Envoy,0,A,Gas,0
65,I,USED,184643,3700,2002,Jaguar,X-Type,0,A,Gas,0
66,I,USED,164342,2000,2002,Jeep,Liberty,0,A,Gas,1
67,I,USED,117149,3800,2002,Kia,Rio,0,M,Gas,2
68,F,USED,97512,0,2002,Mercedes-Benz,C-Class,0,A,Gas,0
69,I,USED,96000,15500,2002,Mercedes-Benz,S-Class,0,A,Gas,1
70,I,USED,96000,15500,2002,Mercedes-Benz,S-Class,0,A,Gas,1
71,I,USED,96000,15500,2002,Mercedes-Benz,S-Class,0,A,Gas,1
72,I,USED,96000,15500,2002,Mercedes-Benz,S-Class,0,A,Gas,1
73,I,USED,196129,7888,2002,Pontiac,Aztek,0,A,Gas,1
74,I,USED,196129,7888,2002,Pontiac,Aztek,0,A,Gas,0
75,F,USED,31169,37587,2002,Pontiac,Firebird,0,A,Gas,0
76,I,USED,121249,4950,2002,Saturn,S-Series,0,A,Gas,0
77,F,USED,121249,4950,2002,Saturn,S-Series,0,A,Gas,0
78,I,USED,141600,34900,2003,BMW,3 Series,0,A,Gas,0
79,F,USED,34948,24999,2003,Chevrolet,Corvette,0,A,Gas,0
80,I,USED,175437,7999,2003,Chevrolet,S10,0,A,Gas,0
81,I,USED,111044,2999,2003,Chevrolet,S10,0,A,Gas,0
82,I,USED,198404,5900,2003,Chrysler,Sebring,0,A,Gas,0
83,I,USED,395,17999,2003,Dodge,Ram 3500,0,A,Diesel,0
84,I,USED,179898,13888,2003,Ford,Mustang,0,A,Gas,0
85,I,USED,179898,13888,2003,Ford,Mustang,0,A,Gas,0
86,I,USED,162121,4900,2003,Honda,Accord,0,A,Gas,1
87,I,USED,188838,6700,2003,Honda,Odyssey,0,A,Gas,4
88,I,USED,134300,29900,2003,Hummer,H2,0,A,Gas,1
89,I,USED,122200,34900,2003,Hummer,H2,0,A,Gas,0
90,I,USED,122200,34900,2003,Hummer,H2,0,A,Gas,0
91,I,USED,176680,5000,2003,Jaguar,X-Type,0,A,Gas,0
92,I,USED,176680,5000,2003,Jaguar,X-Type,0,A,Gas,0
93,I,USED,148348,6700,2003,Jeep,Liberty,0,A,Gas,0
94,I,USED,179249,9900,2003,Mazda,Pickup,0,M,Gas,0
95,I,USED,111269,8900,2003,Mazda,Protege,0,M,Gas,1
96,I,USED,134252,22888,2003,Mercedes-Benz,SL-Class,0,A,Gas,0
97,I,USED,69204,19709,2003,Nissan,350Z,0,M,Gas,0
98,I,USED,154706,5600,2003,Pontiac,Grand Am,0,A,Gas,0
99,I,USED,154706,5600,2003,Pontiac,Grand Am,0,A,Gas,0
100,I,USED,154706,5600,2003,Pontiac,Grand Am,0,A,Gas,0
101,I,USED,184900,5995,2003,Pontiac,Grand Prix,0,A,Gas,0
102,F,USED,101743,5548,2003,Pontiac,Sunfire,0,A,Gas,0
103,I,USED,192563,5900,2003,Subaru,Impreza,0,M,Gas,2
104,I,USED,181833,8995,2003,Suzuki,Vitara,0,M,Gas,0
105,I,USED,181833,8995,2003,Suzuki,Vitara,0,M,Gas,0
106,I,USED,195307,7998,2003,Toyota,Corolla,0,M,Gas,0
107,I,USED,195307,7998,2003,Toyota,Corolla,0,M,Gas,0
108,I,USED,123329,8900,2003,Toyota,Corolla,0,M,Gas,1
109,I,USED,107522,10950,2003,Toyota,Corolla,0,M,Gas,0
110,I,USED,167100,4450,2003,Toyota,Matrix,0,M,Gas,1
111,I,USED,160418,8900,2004,Acura,TL,0,A,Gas,0
112,I,USED,196518,8888,2004,Audi,A4,0,M,Gas,2
113,I,USED,92107,8500,2004,BMW,3-Series,0,M,Gas,2
114,I,USED,182315,7999,2004,BMW,X3,0,A,Gas,3
115,I,USED,35401,4495,2004,Chevrolet,Cavalier,0,A,Gas,0
116,I,USED,156028,21999,2004,Chevrolet,Corvette,0,A,Gas,3
117,I,USED,133993,6900,2004,Chevrolet,Impala,0,A,Gas,2
118,I,USED,196194,3199,2004,Chevrolet,Impala,0,A,Gas,0
119,I,USED,176198,5780,2004,Chevrolet,Malibu,0,A,Gas,0
120,F,USED,176198,5780,2004,Chevrolet,Malibu,0,A,Gas,0
121,F,USED,176198,5780,2004,Chevrolet,Malibu,0,A,Gas,0
122,F,USED,176198,5780,2004,Chevrolet,Malibu,0,A,Gas,0
123,I,USED,162985,6999,2004,Chevrolet,Monte Carlo,0,A,Gas,1
124,I,USED,191084,18700,2004,Chevrolet,Silverado 2500,0,A,Diesel,1
125,I,USED,108479,9500,2004,Chevrolet,Trailblazer,0,A,Gas,1
126,F,USED,860,89980,2004,Dodge,Ram 1500,0,A,Gas,0
127,I,USED,860,89980,2004,Dodge,Ram 1500,0,A,Gas,0
128,I,USED,860,89980,2004,Dodge,Ram 1500,0,A,Gas,0
129,I,USED,860,89980,2004,Dodge,Ram 1500,0,A,Gas,0
130,I,USED,122143,27900,2004,Dodge,Ram 3500,0,A,Diesel,2
131,I,USED,134760,5900,2004,Ford,Focus,0,A,Gas,0
132,I,USED,105600,9995,2004,Ford,Freestar,0,A,Gas,0
133,F,USED,197710,7995,2004,Ford,Mustang,0,A,Gas,1
134,F,USED,195900,6995,2004,Hyundai,Elantra,0,A,Gas,0
135,F,USED,160413,11200,2004,Infiniti,G35,0,A,Gas,1
136,I,USED,163585,6495,2004,Jaguar,X-Type,0,A,Gas,0
137,I,USED,196659,6500,2004,Jeep,Grand Cherokee,0,A,Gas,0
138,I,USED,196659,6500,2004,Jeep,Grand Cherokee,0,A,Gas,0
139,I,USED,175693,5900,2004,Jeep,Grand Cherokee,0,A,Gas,0
140,I,USED,115611,21888,2004,Jeep,TJ,0,M,Gas,0
141,I,USED,134905,8500,2004,Lincoln,LS,0,A,Gas,1
142,I,USED,137200,4000,2004,Mazda,Mazda3,0,M,Gas,2
143,I,USED,137200,4000,2004,Mazda,Mazda3,0,M,Gas,2
144,I,USED,106058,8500,2004,Mazda,Mazda6,0,M,Gas,0
145,I,USED,180556,6999,2004,Mercedes-Benz,E-Class,0,A,Gas,4
146,I,USED,108021,9700,2004,Nissan,350Z,0,M,Gas,4
